REGION,TIMESLICE,FUEL,YEAR,VALUE
EU27,S01D01,EUBBIO,2018,0.0
EU27,S01D01,EUBBIO,2019,0.0
EU27,S01D01,EUBBIO,2020,0.0
EU27,S01D01,EUBBIO,2021,0.0
EU27,S01D01,EUBBIO,2022,0.0
EU27,S01D01,EUBBIO,2023,0.0
EU27,S01D01,EUBBIO,2024,0.0
EU27,S01D01,EUBBIO,2025,0.0
EU27,S01D01,EUBBIO,2026,0.0
EU27,S01D01,EUBBIO,2027,0.0
EU27,S01D01,EUBBIO,2028,0.0
EU27,S01D01,EUBBIO,2029,0.0
EU27,S01D01,EUBBIO,2030,0.0
EU27,S01D01,EUBBIO,2031,0.0
EU27,S01D01,EUBBIO,2032,0.0
EU27,S01D01,EUBBIO,2033,0.0
EU27,S01D01,EUBBIO,2034,0.0
EU27,S01D01,EUBBIO,2035,0.0
EU27,S01D01,EUBBIO,2036,0.0
EU27,S01D01,EUBBIO,2037,0.0
EU27,S01D01,EUBBIO,2038,0.0
EU27,S01D01,EUBBIO,2039,0.0
EU27,S01D01,EUBBIO,2040,0.0
EU27,S01D01,EUBBIO,2041,0.0
EU27,S01D01,EUBBIO,2042,0.0
EU27,S01D01,EUBBIO,2043,0.0
EU27,S01D01,EUBBIO,2044,0.0
EU27,S01D01,EUBBIO,2045,0.0
EU27,S01D01,EUBBIO,2046,0.0
EU27,S01D01,EUBBIO,2047,0.0
EU27,S01D01,EUBBIO,2048,0.0
EU27,S01D01,EUBBIO,2049,0.0
EU27,S01D01,EUBBIO,2050,0.0
EU27,S01D01,EUBBIO,2051,0.0
EU27,S01D01,EUBBIO,2052,0.0
EU27,S01D01,EUBBIO,2053,0.0
EU27,S01D01,EUBBIO,2054,0.0
EU27,S01D01,EUBBIO,2055,0.0
EU27,S01D01,EUBBIO,2056,0.0
EU27,S01D01,EUBBIO,2057,0.0
EU27,S01D01,EUBBIO,2058,0.0
EU27,S01D01,EUBBIO,2059,0.0
EU27,S01D01,EUBBIO,2060,0.0
EU27,S01D01,EUBBIO,2061,0.0
EU27,S01D01,EUBBIO,2062,0.0
EU27,S01D01,EUBBIO,2063,0.0
EU27,S01D01,EUBBIO,2064,0.0
EU27,S01D01,EUBBIO,2065,0.0
EU27,S01D01,EUBBIO,2066,0.0
EU27,S01D01,EUBBIO,2067,0.0
EU27,S01D01,EUBBIO,2068,0.0
EU27,S01D01,EUBBIO,2069,0.0
EU27,S01D01,EUBBIO,2070,0.0
EU27,S01D01,EUBCOA,2018,0.0
EU27,S01D01,EUBCOA,2019,0.0
EU27,S01D01,EUBCOA,2020,0.0
EU27,S01D01,EUBCOA,2021,0.0
EU27,S01D01,EUBCOA,2022,0.0
EU27,S01D01,EUBCOA,2023,0.0
EU27,S01D01,EUBCOA,2024,0.0
EU27,S01D01,EUBCOA,2025,0.0
EU27,S01D01,EUBCOA,2026,0.0
EU27,S01D01,EUBCOA,2027,0.0
EU27,S01D01,EUBCOA,2028,0.0
EU27,S01D01,EUBCOA,2029,0.0
EU27,S01D01,EUBCOA,2030,0.0
EU27,S01D01,EUBCOA,2031,0.0
EU27,S01D01,EUBCOA,2032,0.0
EU27,S01D01,EUBCOA,2033,0.0
EU27,S01D01,EUBCOA,2034,0.0
