Order,Name,Code,Indicative HEX,Secondary HEX
1,Nuclear PP,EUEEGURAPP00,#7030A0,
2,Coal CHP,EUEHGCOACH00,#7F7F7F,#FF0000
3,Coal PP,EUEEGCOAPP00,#7F7F7F,
4,Coal PP with CCS,EUEEGCOAPPCS,#7F7F7F,#FFFFFF
5,Gas CHP,EUEHGNGSCH00,#FFFF00,#FF0000
6,Gas PP,EUEEGNGSPP00,#FFFF00,
7,Gas PP with CCS,EUEEGNGSPPCS,#FFFF00,#FFFFFF
8,Biomass CHP,EUEHGBIOCH00,#92D050,#FF0000
9,Biomass PP,EUEEGBIOPP00,#92D050,
10,Biomass PP with CCS,EUEEGBIOPPCS,#92D050,#FFFFFF
11,Geothermal,EUEEGGEOPP00,#984807,
12,Oil CHP,EUEHGOILCH00,#000000,#FF0000
13,Diesel PP,EUEEGDSLPP00,#000000,
14,HFO PP,EUEEGHFOPP00,#000000,#E46C0A
15,Hydro PP,EUEEGWATPP00,#002060,
16,Wind onshore,EUEEGWONPP00,#B9CDE5,
17,Wind offshore,EUEEGWOFPP00,#00B0F0,
18,Solar CSP,EUEEGSTHPP00,#E46C0A,
19,Solar PV,EUEEGSPVPP00,#FAC090,
20,Solar PV rooftop,EUEEGSPVPPDS,#FAC090,#FFFFFF
21,Batteries,EUESTELCBT00,#A020F0,#FFFF00
22,Hydro Pumped Storage,EUESTELCPDHY,#002060,#FFFFFF
23,Interconnector,EUEGNELCXXIC,#FF6699,
24,Backstop,EUEEG00000BS,#e3e3e3,
