REGION,YEAR,VALUE
EU27,2018,10553809.098987473
EU27,2019,10139223.368370168
EU27,2020,6830561.7847890565
EU27,2021,7293099.088102935
EU27,2022,3932988.002109674
EU27,2023,3258361.991002598
EU27,2024,3177413.252800011
EU27,2025,3064770.7439805684
EU27,2026,2912824.3979799286
EU27,2027,2796424.3034564992
EU27,2028,2685299.606068657
EU27,2029,2602233.9178959
EU27,2030,2492591.841638796
EU27,2031,2366345.2674180297
EU27,2032,2254272.9127838453
EU27,2033,2158488.714097428
EU27,2034,2019173.7222502592
EU27,2035,1961688.749951004
EU27,2036,1863959.2559600177
EU27,2037,1772365.748448166
EU27,2038,1697978.7421032216
EU27,2039,1624575.87535742
EU27,2040,1548970.2971322413
EU27,2041,1449381.5780578016
EU27,2042,1374256.8505126352
EU27,2043,1306105.4233523277
EU27,2044,1249305.1206956287
EU27,2045,1197499.9114862843
EU27,2046,1145296.4308533375
EU27,2047,1114962.7645134204
EU27,2048,1067094.6521540037
EU27,2049,1024953.330568982
EU27,2050,987502.3025811613
EU27,2051,929291.2783203848
EU27,2052,884208.5192861599
EU27,2053,843523.2714006384
EU27,2054,796515.448560405
EU27,2055,753573.6527922517
EU27,2056,719424.8681370425
EU27,2057,679257.770811972
EU27,2058,643682.6875571898
EU27,2059,623859.3654119383
EU27,2060,585540.8019261665
EU27,2061,547448.6235243771
EU27,2062,515605.3216709713
EU27,2063,482242.9109581209
EU27,2064,450614.0123957623
EU27,2065,420868.7140148666
EU27,2066,393378.81421061023
EU27,2067,365840.37504585576
EU27,2068,341199.8407347508
EU27,2069,317759.72053516575
EU27,2070,295421.5121794283
