 ,Sub-module,Type,Technology,Country/Region (2C),Module (1C),Sector (2C),Fuel (3C),Technology/Destination (2C),Type (2C),Technology code,Input,Input code,Output,Output code,Comments,,,Links to water module
Energy,Primary,Fuel supply,Coal supply,EU,E,PS,COA,00,00,EUEPSCOA0000,,,Coal,EUECOA,,,,Links to land module
Energy,Primary,Fuel supply,Coal supply - industry,EU,E,IN,COA,PS,00,EUEINCOAPS00,Coal,EUECOA,Coal industry,EUICOA,,,,
Energy,Primary,Fuel supply,Coal supply - buildings,EU,E,BD,COA,PS,00,EUEBDCOAPS00,Coal,EUECOA,Coal buildings,EUBCOA,,,,
Energy,Primary,Fuel supply,Gas supply,EU,E,PS,NGS,00,00,EUEPSNGS0000,,,Gas,EUENGS,,,,
Energy,Primary,Fuel supply,Gas supply - transport,EU,E,PF,NGS,PS,00,EUEPFNGSPS00,Gas,EUENGS,Gas transport,EUTNGS,,,,
Energy,Primary,Fuel supply,Gas supply - agriculture,EU,E,AG,NGS,PS,00,EUEAGNGSPS00,Gas,EUENGS,Gas buildings,EULNGS,,,,
Energy,Primary,Fuel supply,Gas supply - buildings,EU,E,BD,NGS,PS,00,EUEBDNGSPS00,Gas,EUENGS,Gas buildings,EUBNGS,,,,
Energy,Primary,Fuel supply,Gas supply - industry,EU,E,IN,NGS,PS,00,EUEINNGSPS00,Gas,EUENGS,Gas industry,EUINGS,,,,
Energy,Primary,Fuel supply,Gas supply - shipping/maritime,EU,E,MR,NGS,PS,00,EUEMRNGSPS00,Gas,EUENGS,Gas industry,EUMNGS,,,,
Energy,Primary,Fuel supply,Oil supply,EU,E,PS,OIL,00,00,EUEPSOIL0000,,,Oil,EUEOIL,,,,
Energy,Primary,Fuel supply,Oil supply - industry,EU,E,IN,OIL,PS,00,EUEINOILPS00,Oil,EUEOIL,Oil industry,EUIOIL,,,,
Energy,Primary,Fuel supply,Oil supply - buildings,EU,E,BD,OIL,PS,00,EUEBDOILPS00,Oil,EUEOIL,Oil buildings,EUBOIL,,,,
Energy,Primary,Fuel supply,Oil supply - shipping/maritime,EU,E,MR,OIL,PS,00,EUEMROILPS00,Oil,EUEOIL,Oil buildings,EUMOIL,,,,
Energy,Primary,Fuel supply,Gasoline supply,EU,E,PS,GSL,00,00,EUEPSGSL0000,,,Gasoline,EUEGSL,,,,
Energy,Primary,Fuel supply,Diesel supply,EU,E,PS,DSL,00,00,EUEPSDSL0000,,,Diesel,EUEDSL,,,,
Energy,Primary,Fuel supply,Diesel supply - agriculture,EU,E,AG,DSL,PS,00,EUEAGDSLPS00,Diesel,EUEDSL,Diesel transport,EUADSL,,,,
Energy,Primary,Fuel supply,Diesel supply - transport,EU,E,PF,DSL,PS,00,EUEPFDSLPS00,Diesel,EUEDSL,Diesel transport,EUTDSL,,,,
Energy,Primary,Fuel supply,LPG supply,EU,E,PS,LPG,00,00,EUEPSLPG0000,,,LPG,EUELPG,,,,
Energy,Primary,Fuel supply,LPG supply - transport,EU,E,PF,LPG,PS,00,EUEPFLPGPS00,LPG,EUELPG,LPG transport,EUTLPG,,,,
Energy,Primary,Fuel supply,LPG supply - buildings,EU,E,BD,LPG,PS,00,EUEBDLPGPS00,LPG,EUELPG,LPG buildings,EUBLPG,,,,
Energy,Primary,Fuel supply,Kerosene fuel supply (jet fuel),EU,E,PS,KRS,00,00,EUEPSKRS0000,,,Kerosene,EUEKRS,,,,
Energy,Primary,Fuel supply,HFO supply,EU,E,PS,HFO,00,00,EUEPSHFO0000,,,HFO,EUEHFO,,,,
Energy,Primary,Fuel supply,Uranium supply,EU,E,PS,URA,00,00,EUEPSURA0000,,,Uranium,EUEURA,,,,
Energy,Primary,RE potential,Hydro potential,EU,E,RE,WAT,00,00,EUEREWAT0000,,,Hydro,EUEWAT,,,,
Energy,Primary,RE potential,Solar thermal potential,EU,E,RE,STH,00,00,EUERESTH0000,,,Solar thermal,EUESTH,,,,
Energy,Primary,RE potential,Solar PV potential,EU,E,RE,SPV,00,00,EUERESPV0000,,,Solar PV,EUESPV,,,,
Energy,Primary,RE potential,Wind onshore potential,EU,E,RE,WON,00,00,EUEREWON0000,,,Wind onshore,EUEWON,,,,
Energy,Primary,RE potential,Wind offshore potential,EU,E,RE,WOF,00,00,EUEREWOF0000,,,Wind offshore,EUEWOF,,,,
Energy,Primary,RE potential,Biomass/biofuel availability,EU,E,RE,BIO,00,00,EUEREBIO0000,,,Biomass/biofuel,EUEBIO,,,,
Energy,Primary,Fuel supply,Biomass/biofuel supply - transport,EU,E,PF,BIO,PS,00,EUEPFBIOPS00,Biomass/biofuel,EUEBIO,Biomass/biofuel transport,EUTBIO,,,,
