Module,classifier,Type,Technology/Commodity Description,Old Naming,Input commodity,Input Name,Output commodity,Output Name,,Country identifier (2C),Module (1C),Identifier 1 (3c),Identifier 2 (3C),Input Level identifier (1C),Water supply identifier (1C),filler  (1C),Name
Land,Technology,Resource,Main Land resource ,,,,Land inside the EU,EU0LND,,EU,L,000,MIN,0,0,0,EUL000MIN000
Land,Technology,Crop Imports,MAI,,,-,,IMCMAI,,EU,L,IMP,MAI,0,0,0,EULIMPMAI000
Land,Technology,Crop Imports,WHE,,,-,,IMCWHE,,EU,L,IMP,WHE,0,0,0,EULIMPWHE000
Land,Technology,Crop Imports,BRL,,,-,,IMCBRL,,EU,L,IMP,BRL,0,0,0,EULIMPBRL000
Land,Technology,Crop Imports,SUN,,,-,,IMCSUN,,EU,L,IMP,SUN,0,0,0,EULIMPSUN000
Land,Technology,Crop Imports,RAP,,,-,,IMCRAP,,EU,L,IMP,RAP,0,0,0,EULIMPRAP000
Land,Technology,Crop Imports,GRA,,,-,,IMCGRA,,EU,L,IMP,GRA,0,0,0,EULIMPGRA000
Land,Technology,Crop Imports,OAT,,,-,,IMCOAT,,EU,L,IMP,OAT,0,0,0,EULIMPOAT000
Land,Technology,Crop Imports,OLI,,,-,,IMCOLI,,EU,L,IMP,OLI,0,0,0,EULIMPOLI000
Land,Technology,Crop Imports,RYE,,,-,,IMCRYE,,EU,L,IMP,RYE,0,0,0,EULIMPRYE000
Land,Technology,Crop Imports,POT,,,-,,IMCOTP,,EU,L,IMP,POT,0,0,0,EULIMPPOT000
Land,Technology,Crop Imports,OTH,,,-,,IMCOTH,,EU,L,IMP,OTH,0,0,0,EULIMPOTH000
Land,Technology,Crop Exports,MAI,,,EULMAI,,EXCMAI,,EU,L,EXP,MAI,0,0,0,EULEXPMAI000
Land,Technology,Crop Exports,WHE,,,EULWHE,,EXCWHE,,EU,L,EXP,WHE,0,0,0,EULEXPWHE000
Land,Technology,Crop Exports,BRL,,,EULBAR,,EXCBRL,,EU,L,EXP,BRL,0,0,0,EULEXPBRL000
Land,Technology,Crop Exports,SUN,,,EULSUN,,EXCSUN,,EU,L,EXP,SUN,0,0,0,EULEXPSUN000
Land,Technology,Crop Exports,RAP,,,EULRAP,,EXCRAP,,EU,L,EXP,RAP,0,0,0,EULEXPRAP000
Land,Technology,Crop Exports,GRA,,,EULGRA,,EXCGRA,,EU,L,EXP,GRA,0,0,0,EULEXPGRA000
Land,Technology,Crop Exports,OAT,,,EULOAT,,EXCOAT,,EU,L,EXP,OAT,0,0,0,EULEXPOAT000
Land,Technology,Crop Exports,OLI,,,EULOLI,,EXCOLI,,EU,L,EXP,OLI,0,0,0,EULEXPOLI000
Land,Technology,Crop Exports,RYE,,,EULRYE,,EXCRYE,,EU,L,EXP,RYE,0,0,0,EULEXPRYE000
Land,Technology,Crop Exports,POT,,,EULPOT,,EXCOTP,,EU,L,EXP,POT,0,0,0,EULEXPPOT000
Land,Technology,Crop Exports,OTH,,,EULOTH,,EXCOTH,,EU,L,EXP,OTH,0,0,0,EULEXPOTH000
Land,Technology,Land potential for crops,Potential for rainfed maize cultivation  high input,,,EULCRP,,EULMAI,,EU,L,000,MAI,H,R,0,EUL000MAIHR0
Land,Technology,Land potential for crops,Potential for rainfed wheat cultivation  high input,,,EULCRP,,EULWHE,,EU,L,000,WHE,H,R,0,EUL000WHEHR0
Land,Technology,Land potential for crops,Potential for rainfed barley cultivation  high input,,,EULCRP,,EULBRL,,EU,L,000,BRL,H,R,0,EUL000BRLHR0
