REGION,FUEL,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
EU27,EUIUEI,1198.113457,1119.217683,1017.373702,1098.644814,1016.681433,1029.516044,1042.350655,1055.185265,1049.832572,1044.479879,1039.127186,1033.774493,1028.4218,1013.76572,999.1096402,984.4535601,969.79748,955.1413999,944.3077634,933.4741269,922.6404905,911.806854,900.9732175,896.4724715,891.9717255,887.4709795,882.9702335,878.4694875,878.0576541,877.6458207,877.2339873,876.8221539,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205,876.4103205
EU27,EUIUEC,1994.609604,1957.278426,1971.362514,2022.479629,1755.801951,1852.07793,1948.353909,2044.629888,2034.257988,2023.886088,2013.514188,2003.142288,1992.770388,1964.371337,1935.972287,1907.573237,1879.174186,1850.775136,1829.782825,1808.790515,1787.798204,1766.805893,1745.813583,1737.092498,1728.371414,1719.650329,1710.929245,1702.208161,1701.410152,1700.612143,1699.814135,1699.016126,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118,1698.218118
EU27,EUIUEN,1589.846306,1577.345326,1555.824026,1602.186305,1511.256476,1545.386836,1579.517197,1613.647557,1605.461924,1597.27629,1589.090656,1580.905023,1572.719389,1550.306502,1527.893615,1505.480729,1483.067842,1460.654955,1444.08756,1427.520165,1410.95277,1394.385375,1377.817981,1370.935191,1364.052402,1357.169613,1350.286824,1343.404034,1342.774236,1342.144438,1341.514639,1340.884841,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042,1340.255042
EU27,EUIUEF,1208.21829,1187.795331,1168.98523,1231.135797,1193.327455,1208.226475,1223.125495,1238.024515,1235.025958,1232.027401,1229.028844,1226.030288,1223.031731,1220.981782,1218.931832,1216.881883,1214.831934,1212.781984,1215.743541,1218.705098,1221.666655,1224.628212,1227.589769,1232.961285,1238.3328,1243.704316,1249.075832,1254.447348,1261.695952,1268.944556,1276.19316,1283.441764,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369,1290.690369
EU27,EUIUEP,1423.446151,1439.456442,1392.534439,1442.106745,1361.289549,1388.95609,1416.622632,1444.289173,1436.962652,1429.636132,1422.309611,1414.98309,1407.65657,1387.596,1367.53543,1347.47486,1327.41429,1307.35372,1292.525136,1277.696551,1262.867967,1248.039382,1233.210798,1227.050383,1220.889969,1214.729554,1208.569139,1202.408725,1201.845026,1201.281327,1200.717629,1200.15393,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231,1199.590231
EU27,EUIUEO,3019.417879,3009.629302,2841.919356,3076.991696,2889.185181,2929.377028,2969.568875,3009.760723,3002.470933,2995.181143,2987.891353,2980.601563,2973.311773,2968.328143,2963.344512,2958.360882,2953.377251,2948.39362,2955.59346,2962.793299,2969.993138,2977.192977,2984.392816,2997.451506,3010.510195,3023.568885,3036.627574,3049.686264,3067.308341,3084.930418,3102.552496,3120.174573,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665,3137.79665
EU27,EUERKM,368.7478118,360.5126322,246.7150189,290.5736882,336.1618608,381.7500334,427.338206,472.9263786,480.0959648,487.265551,494.4351372,501.6047234,508.7743096,519.0206885,529.2670673,539.5134462,549.759825,560.0062039,566.1292466,572.2522894,578.3753322,584.4983749,590.6214177,598.599118,606.5768182,614.5545185,622.5322188,630.5099191,636.6665162,642.8231133,648.9797104,655.1363075,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046,661.2929046
EU27,EUEFKM,310.6668396,303.7287721,343.5306782,357.3909569,373.6594287,389.9279006,406.1963724,422.4648443,435.9041137,449.3433831,462.7826526,476.221922,489.6611914,499.5892838,509.5173761,519.4454685,529.3735608,539.3016531,548.2740313,557.2464095,566.2187877,575.1911658,584.163544,590.5126371,596.8617301,603.2108232,609.5599163,615.9090093,622.2552381,628.6014669,634.9476956,641.2939244,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532,647.6401532
EU27,EUEAKM,12654.18965,12926.03538,5638.946253,6927.353202,8427.157622,9926.962042,11426.76646,12926.57088,13264.15913,13601.74737,13939.33561,14276.92386,14614.5121,14881.16285,15147.81361,15414.46436,15681.11512,15947.76587,16208.19967,16468.63347,16729.06728,16989.50108,17249.93488,17448.32141,17646.70794,17845.09446,18043.48099,18241.86752,18426.69467,18611.52183,18796.34898,18981.17614,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329,19166.00329
EU27,EUEPKM,2857.24526,2876.883168,2469.230363,2545.728837,2938.120015,2968.8695,2999.618985,3030.36847,3065.793727,3101.218984,3136.644241,3172.069498,3207.494755,3227.083188,3246.67162,3266.260053,3285.848485,3305.436917,3324.637525,3343.838133,3363.038741,3382.239348,3401.439956,3414.110212,3426.780467,3439.450723,3452.120979,3464.791235,3482.807539,3500.823843,3518.840147,3536.856452,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756,3554.872756
